=== VALUE ITERATION ===
Value Iteration converged.
Utility Table:
100.00 100.00 100.00 100.00 100.00    W      W      W      W      W    99.99  99.99  99.99  99.96  99.76  99.17  97.55  95.96  94.44  93.15  93.07  94.40  95.95  97.54  99.17  99.76  99.96  99.99  99.99  99.99
100.00 100.00 100.00 100.00 100.00    W      W      W      W      W    99.99  99.99  99.99  99.96  99.76  99.17  97.55  96.00  94.62  93.78  93.21  94.41  95.94  97.53  99.16  99.75  99.96  99.98  99.99  99.99
 67.38  67.27  67.03  66.66  66.09  65.10  64.11  63.50  64.31  65.34  66.43  67.53  68.65  69.79  70.94  72.10  73.29  74.49  75.70  76.94  78.19  79.46  80.75  82.06  83.40  84.72  85.74  86.27  86.48  86.55
 66.38  66.27  66.03  65.65  65.07  64.15  63.28  63.11  63.99  65.02  66.08  67.16  68.25  69.35  70.46  71.59  72.73  73.89  75.05  76.23  77.41  78.61  79.81  81.03  82.24  83.46  84.44  84.98  85.21  85.29

Saved value_iteration.png
=== POLICY ITERATION ===
Policy Iteration converged.
Policy Table:
↑  ←  ←  ←  ←  W  W  W  W  W  ↑  ←  ←  ←  ←  ←  ←  ←  ←  ←  →  →  →  →  →  →  →  →  →  ↑
↑  ↑  ↑  ↑  ↑  W  W  W  W  W  ↑  ↑  ←  ←  ←  ←  ←  ←  ←  ↓  →  →  →  →  →  →  →  →  ↑  ↑
↑  ↑  ↑  ↑  ↑  W  W  W  W  W  ↑  ↑  ↑  ←  ←  ←  ←  ←  ↓  ↓  ↓  →  →  →  →  →  →  ↑  ↑  ↑
↑  ↑  ↑  ↑  ↑  W  W  W  W  W  ↑  ↑  ↑  ↑  ←  ←  ←  ↓  ↓  ↓  ←  →  →  →  →  →  ↑  ↑  ↑  ↑
↑  ↑  ↑  ↑  ↑  W  W  W  W  W  ↑  ↑  ↑  ↑  ↑  ←  ↓  ↓  ↓  ↓  ←  ←  →  →  →  ↑  ↑  ↑  ↑  ↑
↑  ↑  ↑  ↑  ↑  ←  ←  ←  →  →  ↑  ↑  ↑  ↑  ↑  →  ↓  ↓  ↓  ↓  W  W  W  W  W  ↑  ↑  ↑  ↑  ↑
↑  ↑  ↑  ↑  ↑  ←  ←  ←  →  →  ↑  ↑  ↑  ↑  →  →  →  ↓  ↓  ↓  W  W  W  W  W  ↑  ↑  ↑  ↑  ↑
↑  ↑  ↑  ↑  ↑  ←  ←  ←  →  →  ↑  ↑  ↑  →  →  →  →  →  →  →  W  W  W  W  W  ↑  ↑  ↑  ↑  ↑
↑  ↑  ↑  ↑  ↑  ←  ←  ←  →  →  ↑  ↑  →  →  →  →  →  ↑  ↑  ↑  W  W  W  W  W  ↓  ↓  ↓  ↑  ↑
